#Powered_by_ParaTranz
post_napoleonic_army_doctrine;后拿破仑时期军事思想
field_fortifications;野战要塞
railroad_transport_groups;铁路运输集群
signal_detachments;分队号令
flexible_firepower;灵活性火力
synchronized_heavy_support;同步火力支援
staff_command_support;统一命令调配
trench_systems;战壕系统
gas_attack_capability;毒气进攻能力
gas_defense_capability;毒气防御能力
elastic_defense_system;弹性防御体系
flexible_counterattacks;灵活性反击
low_echelon_fire_support;浅梯队火力支援
stormtrooper_training;冲锋队训练
tank_experiments;坦克试验
tank_exploits;坦克利用
firepower_vs_mobility;火力与机动
grand_battle_plan_vs_superior_firepower;决战计划与优势火力
human_wave_vs_spearhead;人海战术与装甲先锋
flintlock_rifle_armament;燧发枪装备
muzzle_loaded_rifle_armament;前膛枪装备
breech_loaded_rifle_armament;后膛枪装备
machine_gun_armament;机枪装备
colonial_negotiations;殖民谈判
bolt_action_rifle_armament;手动枪机装备
interwar_infantry;一战后步兵
interwar_cavalry;一战后骑兵
rear_area_dumps;后方区域补给
tankette;小坦克
light_tank;轻型坦克
armoured_cars;装甲车
anti_aircraft_artillery;防空火炮
improved_anti_aircraft_artillery;改良防空炮
light_artillery;轻型炮
medium_artillery;中型炮
heavy_artillery;重型炮
cuirassier_activation;胸甲骑兵
dragoon_activation;龙骑兵
hussar_activation;骠骑兵
telegraph_coordination;电报协调
mobilization_time_tables;动员时间表
personnel_category_tables;人员分类编制
ammunition_area_effect_calculations;火力测试
empirical_combat_efficiency_matrix;高效率战斗阵型
combat_loss_evaluation_schemata;战斗损失评估概要
pre_planned_depot_systems;预设后勤供应体系
logistical_calculations;后勤预算
replenishment_transport_organisation;补给运输机制
army_political_lobbying;陆军游说
army_military_political_decision_making;战时内阁
army_local_military_government;地方军政府
military_aviation;军用航空
early_interwar_bombers;早期一战后轰炸机
late_interwar_bombers;晚期一战后轰炸机
early_interwar_fighters;早期一战后战机
late_interwar_fighters;晚期一战后战机
t_air_superiority;空中优势学说
flying_circus_doctrine;飞行马戏团学说
force_substitution_doctrine;兵力轮换学说
battlefield_destruction_doctrine;战场毁灭学说
operational_destruction_doctrine;精确打击学说
strategic_destruction_doctrine;战略轰炸学说
army_academic_training;士官学校训练
field_training;实地训练
army_societal_status;社会地位
army_independent_command;独立判断
army_continuous_issuing_of_orders;连续发布命令
army_delegated_power;委托权
army_wargames;军事演习
army_alternative_plans;多方案计划
saddle_orders;配套规则
army_literate_ncos;有文化的志愿兵
nco_field_training;志愿兵实地训练
army_nco_tactical_training;志愿兵战术训练
multitude_of_financial_instruments;金融工具大众化
insurance_companies;保险公司
regulated_buying_and_selling_of_stocks;对股票买卖进行规定
liquidation_of_assets;资产清算
capital_for_investors;投资人资金
distribution_channels;分销渠道
industrial_rnd_investments;工业研发投资
industrial_production_investments;工业生产投资
industrial_distribution_investments;工业分销投资
private_bank_monitoring;私人银行监管
market_behaviour_monitoring;市场行为监管
buying_on_margin;使用押金购买
silver_standard;银本位制
decimal_monetary_system;十进制货币体系
double_standard;双本位制
fixed_intramonetary_exchange_rates;固定货币内部汇率
gold_standard;金本位制
international_monetary_exchange_rates;国际货币汇率
state_bond_monetary_mechanism;国家债券货币结构
interest_inflation_weapon;利息-通膨武器
hyperinflation;恶性通货膨胀
john_ramsay_mcculloch;约翰·雷姆赛·麦克库洛赫
nassau_william_sr;纳索·威廉·西尼尔
james_mill;詹姆斯·密尔
john_elliot_cairnes;约翰·艾略特·凯尔恩斯
robert_torrens;罗伯特·托伦斯
john_stuart_mill;约翰·斯图尔特·密尔
pierre_joseph_proudhon;皮埃尔·约瑟夫·普鲁东
karl_marx;卡尔·马克思
friedrich_engels;弗里德里希·恩格斯
eduard_bernstein;爱德华·伯恩斯坦
sidney_webb;西德尼·韦布
karl_kautsky;卡尔·考茨基
jean_jaurès;让·饶勒斯
friedrich_list;弗里德里希·李斯特
wilhelm_roscher;威廉·罗雪尔
bruno_hildebrand;布鲁诺·希尔德布兰德
karl_knies;卡尔·克尼斯
gustav_von_schmoller;古斯塔夫·冯·施莫勒
adolph_wagner;阿道夫·瓦格纳
william_cunningham;威廉·坎宁安
johann_heinrich_von_thünen;约翰·海因里希·冯·杜能
léon_walras;里昂·瓦尔拉斯
stanley_jevons;斯坦利·杰文斯
carl_menger;卡尔·曼恩
thorstein_veblen;托尔斯坦·凡勃伦
alfred_marshall;阿尔弗雷德·马歇尔
augustin_cournot;奥古斯丁·库尔诺
jules_dupuit;朱尔斯·杜平
vilfredo_pareto;维尔弗雷多·帕雷托
knut_wicksell;克努特·维克塞尔
irving_fischer;欧文·费雪
joseph_schumpeter;约瑟夫·熊彼特
eugen_von_böhm_bawerk;欧根·冯·庞巴维克
john_maynard_keynes;约翰·梅纳德·凯恩斯
richard_kahn;理查德·卡恩
ludwig_von_mises;路德维希·冯·米塞斯
friedrich_hayek;弗里德里希·哈耶克
polypoly_structure;多头垄断
oligopoly_structure;寡头垄断
monopoly_structure;垄断结构
limited_partnership_company;有限合伙公司
joint_stock_company;股份公司
patent;专利权
trademark;商标
anti_trust_laws;反垄断法
financial_regulations;财务管理规范
banking_regulations;金融管理规范
working_board_of_directors;董事会经营
bankruptcy_proceedings;破产程序
annual_report_proceedings;年度报告程序
priming_the_pump_;刺激经济
mixed_economy;混合经济
centralized_economic_planning;计划经济
autarky;自给经济
import_substitution_industrialization;进口替代工业化
work_classification;工作分类
work_specialization;工作专门化
work_control_and_hierarchy;工作控制与层级
sequence_planning;流水线顺序规划
inventory_planning;存货清单计划
quality_assurance_procedure;质量保证体系
time_studies;工时定量
time_clock;工作考勤
lighting;照明
old_style_family_business;老式家族企业
anynomous_investor_business;私人投资企业
marketized_smallholder_business;市场化小农经济
i_scientific_management;科学管理
human_resource_development;人力资源开发
romanticist_literature;浪漫主义文学
romanticist_art;浪漫主义艺术
romanticist_music;浪漫主义音乐
realist_literature;现实主义文学
realist_art;现实主义艺术
realist_music;现实主义音乐
impressionist_literature;印象主义文学
impressionist_art;印象主义艺术
impressionist_music;印象主义音乐
expressionist_literature;表现主义文学
expressionist_art;表现主义艺术
expressionist_music;表现主义音乐
avantgarde_literature;前卫派文学
avantgarde_art;前卫派艺术
avantgarde_music;前卫派音乐
surrealism;超现实主义
modern_design;现代设计
jazz;爵士乐
socialist_realism;社会现实主义
neokantian_idealism;新康德唯心主义
hegelian_idealism;黑格尔唯心主义
proto_existentialism;早期存在主义
pragmatism;实用主义
i_empiricism;经验主义
i_analytic_philosophy;分析哲学
modern_logics;现代逻辑学
logical_positivism;逻辑实证主义
philosophy_of_language;语言哲学
phenomenology;现象学
hermeneutics;解释学
existentialism;存在主义
nihilism_and_the_will;虚无主义与意志
futurism;未来主义
quantum_theory;量子力学
darwinism;达尔文主义
social_darwinism;社会达尔文主义
sociology;社会学
social_psychology;社会心理学
political_science;政治学
social_anthropology;社会人类学
the_revolt_of_the_masses;《大众的反叛》
the_decline_of_the_west_and_the_lost_generation;《西方的没落》与《迷惘的一代》
paternalism;家长式统治
constitutionalism;宪政主义
atheism;无神论
egalitarianism;平等主义
rationalism;理性主义
authoritarianism;威权主义
hierarchical_order;等级秩序
traditionalism;传统主义
political_religion;政治宗教
individualism;个人主义
secularization;世俗化
social_conscience;社会伦理
collectivism;集体主义
determinism;决定论
social_justice;社会正义
populism_vs._establishment;民粹主义与权势集团
