AI_FEARS_US_TITLE1;$TAG_0_0_UPPER$이(가) 우리의 힘을 두려워합니다!
AI_FEARS_US_DESC1_LONG;$TAG_0_0$의 특파원으로부터 소문에 대한 보고가 들어오고 있습니다. 한 익명 소식통에 따르면 지난 몇 달 동안 그들의 수도에서 최고위 군 장교들이 참여하는 일련의 회의가 열렸다고 합니다. 이 회의의 주요 주제는 전쟁이 선포되고 우리 군대가 그들을 침공하는 가상의 시나리오에 관한 것입니다. 반격 조치와 필요한 경우 게릴라전 방법까지 논의되었습니다. 아무래도 $TAG_0_0_ADJ$ 군대의 최고 사령부는 최악의 상황에 대비하고 있는 것 같습니다. 그들이 우리를 두려워하는 것이 분명합니다!
AI_FEARS_US_DESC1_MEDIUM;$TAG_0_0$의 한 익명 소식통은 그곳 정부가 최악의 상황에 대비하고 있다고 보고했습니다. 우리 국가가 그들에게 전쟁을 선포하는 가상의 시나리오를 있을 법한 일로 간주하고 있으며, 그곳 최고위 장교들은 우리 군대의 힘을 두려워하고 있습니다!
AI_FEARS_US_DESC1_SHORT;$TAG_0_0$의 익명 소식통으로부터 그들의 수도에서 열린 일련의 군사 회의에 대한 보고가 들어오고 있습니다. 그들은 우리 군대의 침공을 심각한 가능성으로 여기고 있는 것 같습니다!
AI_FEARS_US_TITLE2;$TAG_0_0$이(가) 우리의 진격을 두려워합니다!
AI_FEARS_US_DESC2_LONG;최근 $TAG_0_0_ADJ$ 신문의 기사 하나가 그들의 나라를 깜짝 놀라게 했습니다! 양국 간의 냉랭한 관계에 대한 상세한 분석과 그에 따른 상대적 군사력에 대한 신중한 비교를 통해 편집자는 양국이 곧 전쟁 상태에 놓일 수 있으며, 그날이 오면 $TAG_0_0$의 존재 자체가 위협받을 수 있다는 결론을 내렸습니다. 엘리트와 평민을 막론하고 $TAG_0_0$의 시민들은 비켜 갈 수 없는 우리의 위협을 줄이기 위해 정부가 열강과 동맹을 모색할 것을 요구하고 있습니다.
AI_FEARS_US_DESC2_MEDIUM;최근 $TAG_0_0_ADJ$ 신문의 기사 하나가 그들의 나라를 깜짝 놀라게 했습니다! 양국 간의 냉랭한 관계에 대한 상세한 분석을 통해 편집자는 새로운 보장이 덧붙여지지 않는다면 양국이 곧 전쟁 상태에 놓일 수 있다는 결론을 내렸습니다.
AI_FEARS_US_DESC2_SHORT;최근 $TAG_0_0_ADJ$ 신문의 기사 하나가 그들의 나라를 깜짝 놀라게 했습니다! 양국 간의 냉랭한 관계에 대한 분석은 편집자로 하여금 전쟁이 불가피할지도 모른다는 결론에 이르게 했습니다.
AI_FEARS_US_TITLE3;$TAG_0_0_ADJ$의 모욕!
AI_FEARS_US_DESC3_LONG;$TAG_0_0$에는 편견과 증오가 판을 치고 있습니다. 월요일에 $TAG_0_0_ADJ$ 외무장관이 $TAG_0_0$에 있는 우리 대사관 잔디밭에서 우리 대사의 뺨을 때리면서 점차 커지던 모욕의 행렬이 사상 최악의 지점에 도달했습니다. 언론의 논평 요구에 우리 외무장관은 이것이 '그들이 문명화된 방식으로 행동할 수 없다는 증거이며, 야만인과 불한당들이 $TAG_0_0$을(를) 통치하고 있어 이 끔찍한 자들을 빨리 뿌리 뽑을수록 더 좋다'고 말했습니다. 당장은 외교 채널이 열려 있지만, 전쟁은 피할 수 없을지도 모릅니다.
AI_FEARS_US_DESC3_MEDIUM;$TAG_0_0$에는 편견과 증오가 지배하고 있습니다. 월요일에 $TAG_0_0_ADJ$ 외무장관이 우리 대사의 뺨을 때렸습니다. 우리 외무장관은 '야만인과 불한당들이 $TAG_0_0$을(를) 통치하고 있으며, 이 끔찍한 자들을 빨리 뿌리 뽑을수록 좋다'고 말했습니다.
