#Powered_by_ParaTranz
post_napoleonic_thought;后拿破仑时代军事思想
strategic_mobility;战略机动
point_defense_system;陆军集中防御体系
deep_defense_system;纵深防御体系
infiltration;渗透战术
modern_army_doctrine;现代军队学说
flintlock_rifles;燧发枪
muzzle_loaded_rifles;前膛枪
breech_loaded_rifles;后膛枪
machine_guns;机枪
bolt_action_rifles;手动枪机
modern_divisional_structure;现代师结构
bronze_muzzle_loaded_artillery;铜制前膛炮
iron_muzzle_loaded_artillery;铁制前膛炮
iron_breech_loaded_artillery;铁制后膛炮
steel_breech_loaded_artillery;钢制后膛炮
indirect_artillery_fire;间接火力支援
heavy_armament_dunno;重型装备
military_staff_system;军事参谋系统
military_plans;军事计划
military_statistics;军事统计学
military_logistics;陆军后勤学
military_directionism;陆军军事导向主义
aeronautics;航空学
army_command_principle;陆军指挥法则
army_professionalism;陆军职业化
army_decision_making;陆军决策理论
army_risk_management;陆军风险分析
army_nco_training;陆军士官训练制度
great_war_experience;一战经验
post_nelsonian_thought;后纳尔逊时代军事思想
battleship_column_doctrine;战列舰纵队学说
raider_group_doctrine;袭击集群学说
blue_and_brown_water_schools;蓝水和绿水海军学派
high_sea_battle_fleet;远洋舰队
modern_naval_doctrine;现代海军学说
clipper_design;快速帆船设计
steamers;蒸汽船
iron_steamers;铁甲蒸气船
steel_steamers;穹甲巡洋舰
steam_turbine_ships;蒸汽涡轮船
oil_driven_ships;柴油驱动舰艇
naval_design_bureaus;海军军备设计局
fire_control_systems;海军火控系统
weapon_platforms;海军武器
main_armament;海军主炮
advanced_naval_design;先进海军舰艇设计
modern_naval_design;现代海军舰艇设计
alphabetic_flag_signaling;旗语通讯
naval_plans;海军作战计划
naval_statistics;海军统计学
naval_logistics;海军后勤学
naval_directionism;海军主导学说
naval_integration;海军一体化
the_command_principle;指挥原则
naval_professionalism;海军职业化
naval_decision_making;海军决策
naval_risk_management;海军风险管理
naval_nco_training;海军军士培训
modern_naval_training;现代海军训练
private_banks;私人银行
stock_exchange;股票交易
business_banks;商业银行
investment_banks;投资银行
bank_inspection_board;银行监察委员会
mutual_funds;共同基金
no_standard;无标准
ad_hoc_money_bill_printing;特许银行印钞
private_bank_money_bill_printing;私人银行印钞
central_bank_money_bill_printing;中央银行印钞
modern_central_bank_system;现代中央银行体系
market_determined_exchange_rates;由市场决定的汇率
early_classical_theory_and_critique;早期古典主义理论与批判
late_classical_theory;后期古典主义理论
collectivist_theory;集体主义理论
the_historical_theory;历史理论
neoclassical_theory;新古典主义理论
keynesian_economics;凯恩斯主义经济学
freedom_of_trade;贸易自由
market_structure;市场结构
business_regulations;商业规范
market_regulations;市场规范
economic_responsibility;经济责任制
government_interventionism;政府干预主义
guild_based_production;行会生产
organized_factories;工厂组织
scientific_management;科学管理
time_saving_measures;省时措施
management_strategy;经营策略
organizational_development;组织发展
classicism_n_early_romanticism;古典主义及早期浪漫主义
romanticism;浪漫主义
realism;现实主义
impressionism;印象主义
expressionism;表现主义
mass_culture_n_the_avant_garde;大众文化及前卫派
late_enlightenment_philosophy;启蒙哲学
idealism;唯心主义
empiricism;经验主义
analytic_philosophy;分析哲学
phenomenology_n_hermeneutic;现象学及解释学
anti__rationalism;反理性主义
malthusian_thought;马尔萨斯理论
positivism;实证主义
functionalism;机能主义
biologism;生物学主义
social_science;社会科学
social_alienation;社会疏离论
enlightenment_thought;权利思想
ideological_thought;意识形态思想
state_n_government;国家与政府
nationalism_n_imperialism;民族主义与帝国主义
revolution_n_counterrevolution;革命与反革命
mass_politics;大众政治
introspectionism;内省主义
associationism;联想主义
phenomenalism;现象论
experimental_psychology;实验心理学
psychoanalysis;心理分析
behaviorism;行为主义
water_wheel_power;水轮机
practical_steam_engine;实用蒸汽机
high_n_low_pressure_steam_engines;高低压蒸汽机
steam_turbine;涡轮蒸汽机
combustion_engine;内燃机
electrical_power_generation;电力技术
publishing_industry;印刷工业
mechanical_production;机械生产
interchangeable_parts;通用零件
semi_automatization;半自动化
assembly_line;装配线
shift_work;轮班工作
mechanized_mining;机械化采矿
clean_coal;精煤
cheap_iron;低成本冶铁
cheap_steel;低成本冶钢
advanced_metallurgy;先进冶金学
electric_furnace;电炉
experimental_railroad;实验铁路
early_railroad;早期铁路
iron_railroad;铁轨铁路
steel_railroad;钢轨铁路
integral_rail_system;完整铁路系统
limited_access_roads;快速公路
basic_chemistry;基础化学
medicine;药物
inorganic_chemistry;无机化学
organic_chemistry;有机化学
electricity;电学
synthetic_polymers;人工合成高分子材料
