news1;$TAG_2_0$ 정부는 다음과 같은 조건으로 평화를 제안했습니다: $STRING_0_1$
battle_we_win_title_large;$STRING_0_3$에서 영광스러운 승리를 거두다!
battle_we_win_large;$DATE_LONG_0$, 우리 무적의 육군이 다시 한 번 $STRING_0_3$ 전투에서 승리를 거두었습니다! $VALUE_INT_0_1$명의 아군이 $VALUE_INT_0_3$명의 $TAG_0_3_ADJ$ 군대에게 본때를 보여주었으며, 우리의 용맹한 병사 $VALUE_INT_0_2$명이 목숨을 잃는 동안 $VALUE_INT_0_4$명이 넘는 $TAG_0_3_ADJ$ 악당들을 사살하고 전장을 장악했습니다. 이러한 패배를 겪은 후, $TAG_0_3$ 당국은 분명 머지않아 평화 제안을 구하게 될 것입니다!
battle_we_win_title_medium;$STRING_0_3$에서의 승리!
battle_we_win_medium;$DATE_LONG_0$, 우리는 $VALUE_INT_0_2$명의 목숨을 희생한 끝에 $STRING_0_3$에서 $VALUE_INT_0_3$명의 $TAG_0_3_ADJ$ 군대를 격파했습니다.
battle_we_win_title_small;승리!
battle_we_win_small;$DATE_LONG_0$, 우리는 $STRING_0_3$에서 $VALUE_INT_0_3$명의 $TAG_0_3_ADJ$ 군대를 격파했습니다.
battle_we_lose_title_large;군사적 실책으로 $STRING_0_3$에서 참사 발생!
battle_we_lose_large;$DATE_LONG_0$, 무능한 아군 최고 사령부는 끔찍하게도 $STRING_0_3$에서 $TAG_0_2$ 군대를 상대로 $VALUE_INT_0_4$명의 용감한 병사들을 사지로 몰아넣었습니다. 아군의 정예 병력 $VALUE_INT_0_3$명은 $VALUE_INT1$명의 $TAG_0_2_ADJ$ 병사들과 맞섰으며, 형편없는 지휘와 적의 비열한 전술에도 불구하고 그들에게 $VALUE_INT_0_2$명의 사상자를 입혔습니다. 본 지는 최고 사령부의 전쟁 수행 방향에 심각한 우려를 표하며, 너무 늦기 전에 정부가 이를 올바르게 이끌 조치를 취할 것을 강력히 촉구합니다!
battle_we_lose_title_medium;$STRING_0_3$에서의 패배
battle_we_lose_medium;$DATE_LONG_0$, 우리는 $STRING_0_3$ 전투에서 패배하여 $VALUE_INT_0_4$명을 잃고 $TAG_0_2$에 전장을 내어주었습니다.
battle_we_lose_title_small;$STRING_0_3$에서의 참사
battle_we_lose_small;$DATE_LONG_0$, 우리는 $STRING_0_3$ 전투에서 패배하여 $VALUE_INT_0_4$명을 잃고 $TAG_0_2$에 전장을 내어주었습니다.
gwar_we_win_large_title;$TAG_3_0_UPPER$ 항복하다!
gwar_we_win_large_desc;$DATE_LONG_1$, $TAG_0_0$와(과) $TAG_1_0$ 간의 대전쟁이 우리의 영광스러운 승리로 막을 내렸습니다. $STRING_0_0$(으)로 알려진 이 전쟁은 $DATE_SHORT_0$부터 $STRING_9_0$을(를) 두고 치열하게 벌어졌으며, 그 결과는 $STRINGS_LIST_4$이었습니다.
gwar_we_win_medium_title;휴전 협정 체결!\n 승리!
gwar_we_win_medium_desc;$DATE_LONG_1$, $TAG_0_0$와(과) $TAG_1_0$ 간의 대전쟁이 우리의 영광스러운 승리로 막을 내렸습니다. $STRING_0_0$(으)로 알려진 이 전쟁은 $DATE_SHORT_0$부터 $STRING_9_0$을(를) 두고 치열하게 벌어졌습니다.
gwar_we_win_small_title;$TAG_3_0$을(를) 상대로 승리!
gwar_we_win_small_desc;$STRING_0_0$이(가) $TAG_3_0$의 패배로 끝났습니다.
gwar_we_lose_large_title;수치스러운 날.\n$TAG_2_0_UPPER$와(과)의 평화 조약 체결!
gwar_we_lose_large_desc;$DATE_LONG_1$, $TAG_2_0$을(를) 상대로 한 대전쟁이 우리의 수치스러운 패배로 막을 내렸습니다. $STRING_0_0$(으)로 알려진 이 전쟁은 $DATE_SHORT_0$부터 $STRING_9_0$을(를) 두고 치열하게 벌어졌으며, 그 결과는 $STRINGS_LIST_4$이었습니다.
gwar_we_lose_medium_title;$TAG_2_0_UPPER$와(과) 평화 조약 체결!
gwar_we_lose_medium_desc;$DATE_LONG_1$, $TAG_0_0$와(과) $TAG_1_0$ 간의 대전쟁이 우리의 수치스러운 패배로 막을 내렸습니다. $STRING_0_0$(으)로 알려진 이 전쟁은 $DATE_SHORT_0$부터 $STRING_9_0$을(를) 두고 치열하게 벌어졌습니다.
gwar_we_lose_small_title;$TAG_2_0$와(과)의 평화 조약
gwar_we_lose_small_desc;$STRING_0_0$이(가) $TAG_2_0$의 손에 의한 우리의 패배로 끝났습니다.
war_we_win_large_title;휴전 협정 체결!\n $TAG_3_0_UPPER$ 항복하다
war_we_win_large_desc;$DATE_LONG_1$, $TAG_0_0$와(과) $TAG_1_0$ 간의 전쟁이 우리의 영광스러운 승리로 막을 내렸습니다. $STRING_0_0$(으)로 알려진 이 전쟁은 $DATE_SHORT_0$부터 $STRING_9_0$을(를) 두고 치열하게 벌어졌으며, 그 결과는 $STRINGS_LIST_4$이었습니다.
war_we_win_medium_title;휴전 협정 체결!\n 승리!
war_we_win_medium_desc;$DATE_LONG_1$, $TAG_0_0$와(과) $TAG_1_0$ 간의 전쟁이 우리의 영광스러운 승리로 막을 내렸습니다. $STRING_0_0$(으)로 알려진 이 전쟁은 $DATE_SHORT_0$부터 $STRING_9_0$을(를) 두고 치열하게 벌어졌습니다.
war_we_win_small_title;$TAG_3_0$을(를) 상대로 승리!
war_we_win_small_desc;$STRING_0_0$이(가) $TAG_3_0$의 패배로 끝났습니다.
war_we_lose_large_title;수치스러운 날.\n$TAG_2_0_UPPER$와(과)의 평화 조약 체결!
war_we_lose_large_desc;$DATE_LONG_1$, $TAG_2_0$을(를) 상대로 한 전쟁이 우리의 수치스러운 패배로 막을 내렸습니다. $STRING_0_0$(으)로 알려진 이 전쟁은 $DATE_SHORT_0$부터 $STRING_9_0$을(를) 두고 치열하게 벌어졌으며, 그 결과는 $STRINGS_LIST_4$이었습니다.
war_we_lose_medium_title;수치스러운 평화 조약 체결!
