UNIT_BUILD_TIME_IW;$VAL$일.
SUPPLY_OWNER;소유국:
SUPPLY_ALLIED;동맹국:
SUPPLY_ACCESS;군사 통행권:
SUPPLY_CONTROLLER;점령국:
SUPPLY_CONTROLLER_ALLIANCE;동맹 점령국:
SUPPLY_SIEGE;공성 중:
SUPPLY_CORE;핵심주:
fascist_uh;파시스트는 사회 개혁의 확장을 지지하고 정치 개혁의 철회를 원하지만, 집권당이 파시즘이 아닌 한 모든 개혁에 반대할 것입니다.
reactionary_uh;반동주의자는 항상 정치 개혁과 사회 개혁을 모두 되돌리려 시도합니다.
conservative_uh;보수주의자는 현상 유지를 선호하지만, 투쟁성이 높을 때는 개혁을 지지할 수 있습니다.
socialist_uh;사회주의자는 추가적인 사회 개혁의 제정을 원하지만, 투쟁성이 높을 때는 정치 개혁을 지지할 수 있습니다.
communist_uh;공산주의자는 사회 개혁을 제정하길 원하지만, 정치 개혁은 되돌려지기를 원합니다.
liberal_uh;자유주의자는 추가적인 정치 개혁의 제정을 원하지만, 투쟁성이 높을 때는 사회 개혁도 지지할 것입니다.
anarcho_liberal_uh;무정부적 자유주의자는 사회 개혁이 되돌려지기를 원하며, 그 어떤 추가 개혁도 결코 지지하지 않을 것입니다.
RP_ACCUMULATED;현재 사용되지 않은 §Y$VAL$§W의 연구 점수가 누적되어 있습니다.
WEGAINCB_SETUP;우리가 전쟁 명분을 얻었을 때
WEGAINCB_HEADER;$MONARCHTITLE$
WEGAINCB_1;전쟁 명분
WEGAINCB_2;우리는 다음 전쟁 명분을 얻었습니다:
WEGAINCB_3;'$CASUS$' 전쟁 명분
WEGAINCB_4;대상:
WEGAINCB_5;$ENEMY$
WEGAINCB_6;$DESC$
WEGAINCB_LOG;우리는 $ENEMY$에 대한 '$CASUS$' 전쟁 명분을 얻었습니다.
WEGAINCB_BTN1;확인
WEGAINCB_BTN2;확인
WEGAINCB_BTN3;이동
WEGAINCB_MAP;*
NORMAL_WAR_FREE_NAME;$ORDER$$FIRST$의 $COUNTRY_ADJ$ 민족 해방 전쟁
AGRESSION_WAR_FREE_NAME;$ORDER$$FIRST$의 $COUNTRY$ 수립 전쟁
NORMAL_WAR_COLONIAL_NAME;$ORDER$$FIRST$의 $STATE$ 식민지 정복 전쟁
AGRESSION_WAR_COLONIAL_NAME;$ORDER$$FIRST$의 $STATE$ 식민지 전쟁
NORMAL_WAR_TAKE_NAME;$ORDER$$FIRST$의 $STATE$ 정복 전쟁
AGRESSION_WAR_TAKE_NAME;$ORDER$$FIRST$의 $STATE$ 전쟁
NORMAL_WAR_TAKE_CORE_NAME;$ORDER$$FIRST$의 $STATE$ 해방 전쟁
AGRESSION_WAR_TAKE_CORE_NAME;$ORDER$$FIRST$의 $STATE$ 침략 전쟁
NORMAL_WAR_TAKE_SPHERE_NAME;$ORDER$$COUNTRY$ 전쟁
AGRESSION_WAR_TAKE_SPHERE_NAME;$ORDER$$FIRST$-$SECOND$ $COUNTRY$ 전쟁
NORMAL_WAR_ADD_SPHERE_NAME;$ORDER$$SECOND$의 굴복 전쟁
AGRESSION_WAR_ADD_SPHERE_NAME;$ORDER$$SECOND$의 종속 전쟁
NORMAL_CIVIL_WAR_NAME;$ORDER$$FIRST$ 내전
AGRESSION_CIVIL_WAR_NAME;$ORDER$$FIRST$ 내전
NORMAL_WAR_CONQUEST_NAME;$ORDER$$SECOND$ 정복 전쟁
AGRESSION_WAR_CONQUEST_NAME;$ORDER$$FIRST$의 $SECOND_COUNTRY$ 침략 전쟁
ADJ_FORT_EXTRA_ATTR;적대적인 인접 요새로부터 §R+$VAL$%§W.
IS_NOT_ACCEPTED_CULTURE_POP;수용 문화에 속하지 않습니다.\n
IS_ACCEPTED_CULTURE_POP;수용 문화에 속합니다.\n
IS_NOT_PRIMARY_CULTURE_POP;§Y$NAME$§W이(가) 아닙니다\n
IS_PRIMARY_CULTURE_POP;§Y$NAME$§W입니다\n
NEW_CORE_EFFECT_TAG2;$TAG$이(가) §Y$NEW$§W을(를) 핵심주로 획득합니다.\n
digin;참호화
terrain;지형
crossing;도하
total_occupation;점령된 본토 프로빈스
total_blockaded;봉쇄된 본토 항구
PW_SLAVE_STATE;노예 주
CURR_REL_TT;우리의 현재 관계도.
great_power;열강
second_power;준열강
civ_nation;문명국
unciv_nation;비문명국
REB_TYPE_SIZE;§Y반란군 지원§W
REB_TYPE_POWER;§Y반란군 전력§W
PRODUCTION_MUST_PORT_ONLY;항구에서만 생산됨.\n
POPULATION_CHANGED_BY;인구 변화량:
COMBAT_LEADER_MOD;지휘관
POLITICS_CANNOT_SET_RULING_PARTY_IN_ELECTION;선거 도중에는 집권당을 교체할 수 없습니다.
IS_NOT_OVERSEAS;해외가 아님
IS_OVERSEAS;해외임
SHIP_SUB_NAME;$NUM$$ORDER$ $HOME$ $TYPE$
FOLLOWING_HAVE_CLAIMS;다음 국가들이 이곳에 영유권 주장을 가지고 있습니다.
COUNTRY_IS_NOT_CULTURE;주 문화가 다음이 아님:
COUNTRY_IS_CULTURE;주 문화가 다음과 같음:
NO_ASSIM_NOW;현재 동화 없음
MODIFIER_LOCAL_REPAIR;함선 수리 속도
BADBOY_DRO_1;월간 악명 변화:\n
REGIMENT_SIZE;현재 규모: §Y$SIZE$§W\n
CURRENT_MORALE;조직력: §Y$SIZE$§W / $MAX$.\n
SUPPLY_COST;보급 비용
ALL_CORE_PROVINCE_THAT;다음 조건을 만족하는 모든 핵심 프로빈스에 대해
BREAKCOUNTRY_SETUP;우리 국가에서 반란군 파벌이 요구를 관철했을 때
BREAKCOUNTRY_HEADER;$CAPITAL$의 보고
BREAKCOUNTRY_1;$FACTION$ 승리!
BREAKCOUNTRY_2;$MONARCHTITLE$, $FACTION$이(가) 요구를 관철했습니다!
BREAKCOUNTRY_3;*
BREAKCOUNTRY_4;$EFFECTS$
BREAKCOUNTRY_5;*
BREAKCOUNTRY_6;*
BREAKCOUNTRY_LOG;$FACTION$이(가) 요구를 관철했습니다!
BREAKCOUNTRY_BTN1;끔찍하군!
BREAKCOUNTRY_BTN2;끔찍하군!
BREAKCOUNTRY_BTN3;이동
