#Powered_by_ParaTranz;
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;x
message_notify_rebels_defeat_label;반군 격파 시 알림을 받으시겠습니까?
message_settings_spectator;사전설정: 관전자 전용
msg_revolt_title;반군 봉기
msg_revolt_1;$x$ 반군이 다음 주에서 반란을 일으켰습니다:
msg_revolt_2;$x$ 반군이 반란을 일으켰습니다(성공하지 못함)
msg_war_title;선전포고
msg_war_1;$x$이(가) $y$에 선전포고하여 $val$이(가) 시작되었습니다.
msg_wargoal_title;전쟁 목표 추가됨
msg_wargoal_1;$x$이(가) 우리의 전쟁에 다음 전쟁 목표를 추가했습니다:
msg_war_join_title;국가 참전
msg_war_join_1;$x$이(가) 진행 중인 $val$에 참가했습니다
msg_war_becomes_great_title;전쟁 격화
msg_war_becomes_great_1;$x$이(가) $y$(으)로 확대되었습니다
msg_siegeover_title;공성전 종료
msg_siegeover_1;$x$에 대한 공성전이 종료되었습니다.
msg_siegeover_2;$y$은(는) 더 이상 이 주를 통제하지 않습니다.
msg_siegeover_3;$y$ 반군은 더 이상 이 주를 통제하지 않습니다.
msg_siegeover_4;이 주는 이제 $y$의 통제하에 있습니다.
msg_siegeover_5;이 주는 이제 $y$ 반군의 통제하에 있습니다.
msg_new_crisis_title;위기 고조
msg_new_crisis_1;$x$의 소유권을 둘러싼 위기가 고조되고 있습니다.
msg_new_crisis_2;$x$ 식민지를 둘러싼 위기가 고조되고 있습니다.
msg_tech_title;기술 연구 완료
msg_tech_1;$x$ 연구가 완료되었으며, 다음 효과를 가집니다:
msg_inv_title;발명 획득
msg_inv_1;$x$이(가) 발명되었으며, 다음 효과를 가집니다:
msg_fab_discovered_title;조작 발각
msg_fab_discovered_1;우리의 전쟁 명분 조작이 발각되어 악명이 ?R$x$?! 증가합니다.
msg_fab_discovered_2;$y$에 대한 $x$ 전쟁 명분 정당화 진행이 발각되었습니다
msg_fab_canceled_title;조작 취소
msg_fab_canceled_1;목표 명분이 유효하지 않게 되어 조작이 강제로 취소되었습니다.
msg_fab_finished_title;조작 완료
msg_fab_finished_1;우리는 $y$에 대한 $x$ 명분을 완성했습니다.
msg_leader_died_title;장군 사망
msg_leader_died_1;$y$ 군을 지휘하던 지휘관 $x$이(가) 사망했습니다.
msg_leader_died_2;$y$ 함대를 지휘하던 제독 $x$이(가) 사망했습니다.
msg_peace_offer_accepted_title;평화 협정 수락
msg_peace_offer_accepted_1;$x$의 일원으로서, $y$이(가) $val$ 평화 협정을 수락했습니다.
msg_peace_offer_rejected_title;평화 협정 거부됨
msg_peace_offer_rejected_1;$x$의 일원으로서, $y$이(가) $val$의 평화 협정을 거부했습니다.
msg_upper_house_title;상원 개편
msg_upper_house_1;새로운 상원 구성은 다음과 같습니다:
msg_upper_house_2;$x$ %: $y$
msg_election_start_title;선거 시작
msg_election_start_1;선거는 $x$에 종료됩니다.
msg_dec_rel_title;관계 악화
msg_dec_rel_1;$x$이(가) $y$와의 외교 관계를 악화시켰습니다.
msg_inc_rel_title;관계 개선
msg_inc_rel_1;$x$이(가) $y$와의 외교 관계를 개선했습니다.
msg_add_sphere_title;국가가 세력권에 편입됨
msg_add_sphere_1;$x$이(가) $y$을(를) 세력권에 편입했습니다.
msg_rem_sphere_title;국가가 세력권에서 제외됨
msg_rem_sphere_1;$x$이(가) $y$을(를) 세력권에서 제외했습니다
msg_rem_sphere_2;$x$이(가) $y$을(를) $val$의 세력권에서 제외했습니다.
msg_op_dec_title;평가 하락
msg_op_dec_1;$x$이(가) $y$에 대한 $val$의 평가를 낮췄습니다.
msg_op_inc_title;평가 상승
msg_op_inc_1;$x$이(가) 자신에 대한 $y$의 평가를 높였습니다.
msg_expel_title;고문 추방
msg_expel_1;$y$이(가) $x$에게 $val$ 고문을 추방하게 했습니다.
msg_ban_title;대사관 봉쇄
msg_ban_1;$x$이(가) $y$ 주재 $val$ 대사관을 봉쇄했습니다.
msg_ban_2;이는 $x$까지 지속됩니다.
msg_discredit_title;평판 실추
msg_discredit_1;$x$이(가) $y$로 하여금 $val$의 평판을 깎아내리게 했습니다.
msg_discredit_2;이는 $x$까지 지속됩니다.
msg_ally_call_accepted_title;동맹 이행
msg_ally_call_accepted_1;$x$이(가) $y$ 동맹을 이행하고 $val$에 참가했습니다.
msg_ally_call_declined_title;동맹 파기
msg_ally_call_decline_1;$x$이(가) $y$ 동맹 요청을 거절하고 $val$에 참가하지 않았습니다.
msg_alliance_declined_title;동맹 거절
msg_alliance_declined_1;$x$이(가) $y$의 동맹 제안을 거절했습니다.
msg_alliance_starts_title;동맹 체결
msg_alliance_starts_1;$x$와(과) $y$이(가) 동맹을 맺었습니다.
msg_alliance_ends_title;동맹 해체
msg_alliance_ends_1;$x$와(과) $y$ 사이의 동맹이 종료되었습니다.
msg_access_refused_title;군사 통행 거부
msg_access_refused_1;$x$이(가) $y$에게 군사 통행권 부여를 거부했습니다.
msg_access_granted_title;군사 통행 허가
msg_access_granted_1;$x$이(가) $y$에게 군사 통행권을 부여했습니다.
msg_access_canceled_a_title;군사 통행 회수
msg_access_canceled_a_1;$x$이(가) $y$의 군사 통행권을 회수했습니다.
msg_access_canceled_b_title;군사 통행 취소
msg_access_canceled_b_1;$x$은(는) 더 이상 $y$에 대한 군사 통행권이 필요하지 않습니다.
msg_wsub_start_title;전쟁 지원 시작
msg_wsub_start_1;$x$이(가) $y$의 현재 전쟁 지원을 시작했습니다.
msg_wsub_end_title;전쟁 지원 종료
msg_wsub_end_1;$x$이(가) $y$의 현재 전쟁 지원을 중단했습니다.
msg_new_gp_title;신흥 열강
msg_new_gp_1;$x$은(는) 이제 열강입니다.
msg_lost_gp_title;열강 상실
msg_lost_gp_1;$x$은(는) 더 이상 열강이 아닙니다.
msg_decision_title;결정 실행
msg_decision_1;$x$이(가) $y$ 결정을 실행했습니다.
msg_decision_2;효과:
msg_rebels_win_title;반군 승리
msg_rebels_win_1;$x$ 반군이 승리했습니다.
msg_rebels_win_2;위신이 ?R$x$?! 감소했습니다
msg_rebels_win_3;정체가 $x$(으)로 변경됨
msg_rebels_win_4;정부 이념이 $x$(으)로 변경됨
msg_rebels_win_5;모든 외교 관계 폐기
msg_rebels_win_6;효과:
msg_election_end_title;선거 종료
msg_election_end_1;$x$가 $y$%의 표를 얻어 이제 집권당이 되었습니다.
msg_election_end_2;$x$가 $y$%의 표를 얻어 이제 연립정부의 집권당이 되었습니다.
msg_crisis_joffer_accepted;국가 편들기
msg_crisis_joffer_accepted_1;$x$가 $y$의 조건을 받아들여 현재 위기에서 그들을 지지합니다.
msg_crisis_joffer_rejected;국가 중립 유지
msg_crisis_joffer_reject_1;$x$가 $y$ 측에 합류하라는 제안을 거절했습니다.
msg_crisis_settled_title;위기 해결
msg_crisis_settled_1;$x$가 $y$의 조건을 받아들여 현재 위기를 해결했습니다.
msg_crisis_not_settled_title;위기 해결안 거부
msg_crisis_not_settled_1;$x$가 $y$가 제안한 현재 위기 해결안을 거부했습니다.
msg_crisis_escalates_title;위기 고조
msg_crisis_escalates_1;현재 위기가 $x$(으)로 발전했습니다.
msg_crisis_fizzle_title;위기 진정
msg_crisis_fizzle_1;무르익던 이 위기는 국제적 관심을 끌지 못했습니다.
msg_crisis_fizzle_2;무르익던 이 위기는 지지를 받지 못했습니다.
msg_crisis_attacker_title;위기 지지
msg_crisis_attacker_1;$x$가 현재 위기에 가담하여 공격 측을 지지합니다.
msg_crisis_defender_title;위기 지지
msg_crisis_defender_1;$x$가 현재 위기에 가담하여 방어 측을 지지합니다.
msg_crisis_vol_join_title;국가 편들기
msg_crisis_vol_join_1;$x$가 현재 위기에 가담하여 공격 측을 지지합니다.
