DIPLOMACY_AI_ACCEPTANCE;§Y$COUNTRY$§W의 응답: §Y$ODDS$§W
TOO_SOON_FOR_REFORM;또 다른 개혁을 제정하려면 §Y$DATE$§W까지 기다려야 합니다.
SIEGE_EXTRA_ATTR;점령 저항으로 인한 소모 §R+$VAL$%§W
NO_SEPARATE_PEACE_CRISIS;위기 전쟁에서는 개별 평화 협상을 할 수 없습니다
CRISIS_RESOLUTION_EFFECTS;이런 방식으로 위기를 해결하면 위신 $VAL$을(를) 획득합니다.
CRISIS_RESOLUTION_RELATIONS;다음 국가와의 관계도가 변경됩니다:
flintlock_rifle_armament;수석총 무장
flintlock_rifle_armament_desc;17세기 초에 도입된 수석식은 도그락, 화승총, 치륜총 기구와 같은 초기 화기 격발 기술을 빠르게 대체했습니다. 이후 2세기가 넘는 기간 동안 흔히 사용되었고, 19세기 초중반에 뇌관식과 탄약통 기반 시스템으로 대체되었습니다. 현대 화기로 대체된 지 오래지만, 수석식 무기는 흑색화약 사격 애호가들 사이에서 계속해서 인기를 누리고 있습니다.
post_napoleonic_army_doctrine;포스트 나폴레옹 육군 교리
post_napoleonic_army_doctrine_desc;프랑스 혁명과 그에 이어진 나폴레옹 전쟁은 군사 전략에 혁명을 일으켰습니다. 이 시기의 영향은 미국 남북 전쟁과 제1차 세계대전 초기 단계에서도 여전히 느낄 수 있었습니다. 저렴한 소화기의 등장과 징집된 시민 병사의 부상으로, 육군은 규모가 급격히 커져 대규모 대형이 되었습니다. 이로 인해 군대를 먼저 사단으로, 나중에는 군단으로 나눌 필요성이 제기되었습니다. 사단과 함께 사단 포병도 등장했습니다.
muzzle_loaded_rifle_armament;전장식 소총 무장
muzzle_loaded_rifle_armament_desc;전장식 소총은 후장식 소총과는 대조적으로 발사체와 추진 장약을 총의 앞쪽 끝을 통해 장전하는 총입니다. 수동 소총은 1740년대에 잘 발달했습니다. '전장총'의 형태를 띠었던 것 중 하나는 실제로 펜실베이니아에서 개발된 켄터키 소총입니다. 미국의 롱라이플은 독일의 '예거' 소총에서 진화했습니다.
breech_loaded_rifle_armament;후장식 소총 무장
breech_loaded_rifle_armament_desc;후장식 무기는 탄약이나 포탄을 총열 뒷부분에 일체화된 약실에 넣거나 장전하는 화기입니다. 후장식 무기가 개발된 것은 14세기 후반까지 거슬러 올라가지만, 19세기에 정밀 공학과 기계 가공이 개선되면서 후장식이 더 성공적이 되었습니다.
bolt_action_rifle_armament;볼트 액션 소총 무장
bolt_action_rifle_armament_desc;볼트 액션은 작은 손잡이를 사용하여 총미(총열)를 열고 닫음으로써 무기의 노리쇠를 수동으로 조작하는 화기 작동 방식의 한 종류입니다. 최초의 볼트 액션 소총은 후장식 소총 연구에 이어 1824년 요한 니콜라우스 폰 드라이제에 의해 제작되었습니다. 유럽의 육군은 19세기 후반 내내 볼트 액션 소총을 계속 개발했으며, 제1차 세계대전 당시 참전한 모든 국가가 다양한 볼트 액션 설계로 무장한 부대를 배치함으로써 볼트 액션 소총의 사용은 정점에 달했습니다.
machine_gun_armament;기관총 무장
machine_gun_armament_desc;1861년 리처드 조던 개틀링이 특허를 낸 개틀링 건은 자동 장전을 통해 제어된 연속 사격을 제공한 최초의 무기였습니다. 미국 남북 전쟁에서 처음으로 매우 제한된 실전을 치렀습니다.
cuirassier_activation;흉갑기병
cuirassier_activation_desc;흉갑기병은 갑옷과 화기로 무장한 기병으로, 15세기 후반 유럽에 처음 등장했습니다. 최초의 흉갑기병은 맨앳암즈나 데미랜서와 같은 중기병들이 창을 버리고 권총을 주력 무기로 채택한 결과로 탄생했습니다. 이들은 나폴레옹 전쟁 기간 동안 중요성이 커졌으며 제1차 세계대전 초기에 마지막으로 배치되었습니다. 흉갑기병은 여러 국가에서 의장대로 계속 사용되고 있습니다.
dragoon_activation;용기병
dragoon_activation_desc;용기병이라는 단어는 원래 승마 기술과 보병 전투 기술을 함께 훈련받은 승마 보병을 의미했습니다. 그러나 시간이 지나면서 용도가 변경되었고 18세기에 이르러 용기병은 전통적인 경기병 부대와 병력으로 진화했습니다. 17세기 후반과 18세기 초반에 대부분의 유럽 육군에서 용기병 연대가 창설되었습니다. 나폴레옹 전쟁 동안 용기병은 장갑을 두른 흉갑기병보다 더 가벼운 등급의 승마 부대로 남아 있었지만 일반적으로 기병의 역할을 수행했습니다.
hussar_activation;후사르
hussar_activation_desc;후사르는 15세기 헝가리에서 유래한 여러 유형의 경기병을 일컫습니다. 이들 기병의 명칭과 독특한 복장은 그 후 유럽 및 다른 군대의 경기병 연대에 널리 채택되었습니다. 후사르는 나폴레옹 전쟁에서 기병으로서 탁월한 역할을 수행했습니다. 빠른 말에 탄 경기병으로서 이들은 산병전과 정찰에 사용되곤 했습니다.
military_aviation;군사 항공
