MIL_FROM_TROOPS;병사와 육군
MIL_FROM_CAP_SHIPS;주력함
MIL_FROM_LEADERS;지휘관
OCCUPATION_SCORE;점령:
BLOCKADE_SCORE;봉쇄:
OUTLINER_TOOLTIP_EMPLOYED;§Y$COUNT$§!명이 공장에 고용됨 (§Y$PERC$§!%)
TRADE_SUPPLY_NEED_A;매일 육군 보급에 $VAL$가 필요합니다.\n
TRADE_SUPPLY_NEED_N;매일 해군 보급에 $VAL$가 필요합니다.\n
DIPLOMACY_CANNOT_SET_PRIO_WAR;이 국가와 전쟁 중일 때는 영향력을 행사할 수 없습니다.
DIPLOMACY_INFLUENCE_NOT_WORTH;우리는 이미 이 국가에 최대치로 영향력을 행사하고 있으며, 이 국가에 영향력을 행사하는 다른 국가가 없습니다. 당분간 점수가 소비되지 않습니다.
COLONY_ABORT_HEADER;우리의 식민지화가 중단되었을 때.
COLONY_ABORT_1;식민지화 중단!
COLONY_ABORT_2;$MONARCHTITLE$이시여, 다음 지역의 우리 식민지가
COLONY_ABORT_3;§Y$TARGET$§b
COLONY_ABORT_4;중단되었습니다!
COLONY_ABORT_5;우리는 더 이상 이 지역을 식민지화할 수 없습니다.
COLONY_ABORT_6;*
COLONY_ABORT_BTN1;확인
COLONY_ABORT_BTN2;확인
COLONY_ABORT_BTN3;이동
COLONY_ABORT_MAP;식민지화 중단!
COLONY_ABORT_SETUP;식민지화가 중단되었을 때.
COLONY_ABORT_LOG;$TARGET$의 식민지화가 중단되었습니다.
DIPRELCH_VALID_CB;유효한 전쟁 명분
BRIGADES_COMPARE_GREATER;두 국가 간의 여단 비교 비율이 최소 §Y$VAL$§!입니다.
BRIGADES_COMPARE_SMALLER;두 국가 간의 여단 비교 비율이 §Y$VAL$§! 미만입니다.
CONFIRM_CREATE_STATE_DESC2;(모든 지역 효과가 제거될 것입니다.)
UNIT_ENABLE_REBEL_HUNT;반란군 토벌
UNIT_DISABLE_REBEL_HUNT;(반란군 토벌 중)
UNIT_REBEL_HUNT_WILL_HUNT;§G육군이 반란군을 토벌할 준비가 되었습니다.§!
UNIT_REBEL_HUNT_IS_BUSY;§R육군이 현재 바쁘기 때문에, 당장 반란군을 토벌하지 않을 것입니다.§!
UNIT_REBEL_HUNT_LOW_MORALE;§R육군의 사기가 너무 낮아, 당장 반란군을 토벌하지 않을 것입니다.§!
UNIT_REBEL_HUNT_NO_VALID;§R적 반란군이 감지되었지만, 그들이 너무 강력하거나 접근할 수 있는 안전한 경로를 찾지 못하여 우리 육군이 공격하지 않을 것입니다.§!
NOT_RELEASE_AT_WAR;§R(전쟁 중에는 국가를 해방할 수 없습니다.)§W
