GIVE_UNIT_COMMAND_BUTTON;부대 지휘
GIVE_UNIT_COMMANDTITLE;부대 지휘
GIVE_UNIT_COMMAND_DESC;함께 전쟁을 치르는 동안 괴뢰국의 종주국은 괴뢰국 부대의 지휘권을 가져올 수 있습니다.
GIVE_UNIT_COMMAND_OK;괴뢰국에게 그들 자신의 부대에 대한 지휘권을 넘겨달라고 요청합니다.
GIVE_UNIT_COMMAND_CANT_CONTROL;함께 전쟁을 치르고 있을 때만 §Y괴뢰국§!의 부대를 지휘할 수 있습니다.
GIVE_UNIT_COMMAND_ALREADY_CONTROL;당신은 이미 그들의 부대를 지휘하고 있습니다.
CANCEL_UNIT_COMMAND_BUTTON;부대 반환
CANCEL_UNIT_COMMANDTITLE;부대 반환
CANCEL_UNIT_COMMAND_DESC;부대 반환
CANCEL_UNIT_COMMAND_OK;그들에게 부대를 돌려줍니다.
CANCEL_UNIT_COMMAND_NOT_IN_CONTROL;당신은 이 부대를 지휘하고 있지 않습니다.
cut_down_to_size_boxer_setup;청나라가 의화단의 범죄에 대한 대가를 치르도록 강제합니다.
cut_down_to_size_boxer_short;청나라가 의화단의 범죄에 대한 대가를 치르도록 강제합니다.
LACK_OF_MAINTENANCE_GOODS;유지 물자 부족
AIREASON_TOO_MANY_CRISIS_WARGOALS;추가된 전쟁 목표
AIREASON_NOT_OVERLORD;나의 종주국이 아님
EVTNAME36230;북극곰 매입
EVTDESC36230;얀마옌이 우리의 모든 북극곰을 좋은 가격에 사겠다고 제안했습니다. 그들은 이 장엄한 생명체들에게 걸맞은 보살핌과 존엄으로 대할 것이라고 약속했습니다.
EVTOPTA36230;좋다!
EVTOPTB36230;절대 안 돼!
EVTNAME36231;북극곰 매입 - 덴마크 승낙
EVTDESC36231;덴마크가 우리에게 그들의 모든 북극곰을 판매하는 데 동의했습니다.
EVTOPTA36231;훌륭해!
EVTNAME36232;북극곰 매입 - 덴마크 거절
EVTDESC36232;덴마크가 그들의 북극곰 판매를 거절했습니다.
EVTOPTA36232;오 이런!
the_greenland_purchase_title;북극곰 매입
the_greenland_purchase_desc;세계의 모든 북극곰이 하나의 깃발 아래 통합되지 않았다는 것은 오랜 시간 얀마옌의 위대한 국민들에게 골칫거리였습니다. 우리는 덴마크에 접촉하여 그들의 북극곰을 넘겨줄 의향이 있는지 확인해야 합니다.
bears;곰
polar_bears;북극곰
INFLUENCE_SPHERE_NEIGHBOUR;인접한 세력권 국가
col_liferate_techs;다음 기술을 연구하면 지역의 생활 등급을 극복하는 데 도움이 될 것입니다:
unite_moldavia_wallachia_title;몰다비아-왈라키아 연합!
unite_moldavia_wallachia_desc;몰다비아와 왈라키아가 하나로 통합되어 루마니아를 형성했습니다!
SOIS_HAS_REBELS_WARNING;우리의 세력권 국가에 반란군이 봉기했습니다: §Y$LIST$§!
ALLIANCE_INVALID_GPS_IN_CRISIS;§Y위기§!가 진행 중일 때 §Y두 열강§! 간의 동맹은 맺을 수 없습니다.
BP_TOOL_ARROW_MEDIUM_1_DASHED;중간 굵기 점선 화살표 1
BP_TOOL_ARROW_MEDIUM_2_DASHED;중간 굵기 점선 화살표 2
BP_TOOL_ARROW_MEDIUM_3_DASHED;중간 굵기 점선 화살표 3
BP_TOOL_ARROW_THICK_DASHED;굵은 점선 화살표
BP_TOOL_ARROW_SLIM_DASHED;얇은 점선 화살표
BP_OPEN_TOOLTIP;전투 계획 편집기를 열거나 닫습니다.
BP_TOGGLE_TOOLTIP;현재 전투 계획을 표시하거나 숨깁니다.
EVTOPTC23212;식민지화된 혜성은 훌륭한 위성국이 될 것입니다!
liberate_liberia_title;라이베리아 해방
liberate_liberia_desc;"라이베리아 공화국이라는 이름과 형태를 가진 자유롭고 주권적인 독립국"이 조셉 젠킨스 로버츠 총독에 의해 선포되었습니다. 특히 이웃한 시에라리온에서 활동하던 영국은 영연방과 그 모체인 미국식민협회(ACS)를 주권 행사 자격이 없는 "개인"으로 간주했습니다. 따라서 독립을 공식화하는 건 시급한 문제로 다뤄졌습니다. 하지만 미국 정부의 승인에도 불구하고, 의회의 새로운 공화국에 대한 공식적인 외교적 승인은 남북전쟁이 발발한 뒤에야 이루어졌습니다.
liberian_constitution_title;라이베리아 헌법
liberian_constitution_desc;불과 몇 년 전만 해도 한낱 식민지에 불과했던 곳이 이제는 자유롭고 주권적인 독립국을 열망할 만큼 규모와 힘을 갖추게 되었습니다. 새로운 헌법의 초안이 국민투표에 부쳐질 준비를 마쳤습니다. 이 헌법은 미국의 헌법과 유사하게 기본적인 시민권을 보장하고 3권 분립을 확립하는 한편, 새로 선포된 건국을 미국 정부 및 기관으로부터 분리시킵니다.
liberian_research_boost;라이베리아 연구력 증가
desc_liberian_research_boost;우리 신생국이 현대로 향하는 길을 더욱 빠르게 나아가고 있으므로, 우리는 독립의 혜택을 온전히 누리고 있습니다.
form_scandinavia_NEWS_LONG;북방의 땅이 하나로 뭉쳐 스칸디나비아 국가를 형성했습니다. 주로 금발의 남녀로 구성된 얌전한 군중이 수요일 오후 5시 정각에 스톡홀름의 중앙 광장을 가득 메우고 유례없이 정중한 태도로 새로운 정치적 상황에 대한 지지를 표명했습니다. 저녁이 되자 악수와 정중한 박수, 고개를 끄덕이는 모습이 하루를 장식했고, 군중들은 당국의 요청에 따라 오후 9시 정각에 거리를 일제히 비웠습니다. 경찰은 한 남성이 자신의 집 밖에서 ‘스칸디나비아 만세’를 외친 후 훈방 조치되었다고 보고했습니다.
form_scandinavia_NEWS_MEDIUM;북방의 땅이 하나로 뭉쳐 스칸디나비아 국가를 형성했습니다. 주로 금발의 남녀로 구성된 얌전한 군중이 수요일 오후 5시 정각에 스톡홀름의 중앙 광장을 가득 메우고 정중하게 목소리를 내거나 고개를 끄덕이며 새로운 정치적 상황에 대한 지지를 표명했습니다.
form_scandinavia_NEWS_SHORT;북방의 땅이 하나로 뭉쳐 스칸디나비아 국가를 형성했습니다. 군중들은 정중하게 목소리를 내기나 고개를 끄덕이며 새로운 정치적 상황에 대한 지지를 표명했습니다.
form_germany_NEWS_LONG;독일의 영토와 민족이 마침내 하나가 되었습니다. 월요일 베를린에서 열린 한 기념행사에서 야심 찬 환호와 우레와 같은 함성 속에 통일 국가가 선포되었습니다. 나폴레옹 시대 이후로 독일의 민족주의는 꾸준히 성장해왔으며, 많은 정치인들은 이 사건을 필연적인 것으로 보았습니다. 하지만 외교관들 사이에서는 이 거대한 신생국이 대륙의 세력 균형을 뒤흔들고, 새로운 독일이 현재의 안보 체제에 도전한다면 그들의 압도적인 인구와 산업력이 유럽에 전례 없는 규모의 전쟁을 초래할 수 있다는 불안감이 제기되고 있습니다.
form_germany_NEWS_MEDIUM;독일의 민족이 하나가 되었습니다. 월요일 베를린에서 열린 한 기념행사에서 야심 찬 환호와 우레와 같은 함성 속에 통일 국가가 선포되었습니다. 이 거대한 신생국이 대륙의 세력 균형을 뒤흔들고 전례 없는 규모의 전쟁을 초래할 수 있다는 불안감이 제기되고 있습니다.
form_germany_NEWS_SHORT;독일의 영토와 민족이 마침내 하나가 되었습니다. 주말에 베를린에서 열린 호화로운 기념행사에서 야심 찬 환호와 우레와 같은 함성 속에 독일 통일 국가가 선포되었습니다.
form_italy_NEWS_LONG;이탈리아가 통일되었습니다. 대중들이 환호성을 지르며 한목소리로 하나가 될 것을 요구한 뒤 신생국이 선포되었습니다. 열광의 도가니 속에서 정치인들과 고위 인사들은 대중들의 뜻에 동의했고 마침내 통일 국가가 탄생했습니다. 학식 있는 신사들은 이 신생국이 이웃 국가들에게 위협이 될 힘을 아직 갖추지 못했다고 말하지만, 이 국가가 정당한 이탈리아 영토라고 여기는 곳들을 무력으로 점령하려 할지도 모른다는 우려가 제기되고 있습니다. 한 남성이 둘러말린 신문지를 통해 대고 “우리의 것을 되찾을 것이다! 이탈리아 만세!”라고 외쳤습니다.
form_italy_NEWS_MEDIUM;이탈리아가 통일되었습니다. 대중들이 환호성을 지르며 한목소리로 하나가 될 것을 요구한 뒤 신생국이 선포되었습니다. 열광의 도가니 속에서 정치인들과 고위 인사들은 대중들의 뜻에 동의했고 마침내 통일 국가가 탄생했습니다. 이 위대한 신생국이 정당한 이탈리아 영토라고 여기는 곳들을 무력으로 점령하려 할지도 모른다는 우려 또한 제기되고 있습니다.
form_italy_NEWS_SHORT;이탈리아가 마침내 통일되었습니다. 어제 콧수염을 기른 한 남성이 자전거를 타고 가면서 말린 신문지를 대고 “이탈리아 국민들이 정당한 우리의 것을 되찾을 것이다! 이탈리아 만세!”라고 외쳤습니다.
